Date,Description,Amount,Category
2025-09-01,Starbucks Coffee,-8.50,Food & Drink
2025-09-01,Monthly Salary,3500.00,Income
2025-09-02,Amazon Purchase,-45.20,Shopping
2025-09-03,Gas Station,-55.00,Transport
2025-09-04,Netflix Subscription,-15.99,Bills
2025-09-05,Groceries,-120.75,Groceries
2025-09-06,Restaurant Dinner,-85.40,Food & Drink
2025-09-07,Starbucks Coffee,-8.50,Food & Drink
2025-09-08,Electricity Bill,-75.00,Bills
2025-09-10,Amazon Purchase,-22.30,Shopping
2025-09-12,Movie Tickets,-30.00,Entertainment
2025-09-13,Gas Station,-60.00,Transport
2025-09-14,Groceries,-95.50,Groceries
2025-09-15,Mobile Phone Bill,-50.00,Bills
2025-09-16,Lunch with Friends,-40.10,Food & Drink
2025-09-18,Starbucks Coffee,-8.50,Food & Drink
2025-09-20,Shopping Mall,-150.25,Shopping
2025-09-21,Casino Withdrawal,-5000.00,Entertainment
2025-09-22,Groceries,-110.00,Groceries
2025-09-24,Amazon Purchase,-78.90,Shopping
2025-09-25,Unusual Wire Transfer,-1500.00,Transfers
2025-09-26,Gas Station,-58.50,Transport
2025-09-28,Dinner,-92.00,Food & Drink
2025-09-30,Gym Membership,-40.00,Health
2025-09-30,Starbucks Coffee,-8.50,Food & Drink